PlayerID,PlayerName,WR_ID
1280,Thomas Cornelius,120016
1281,Thony Restel,656268
1283,Balint Nagy,150076
1284,Darko Mrdalj,250001
1285,Linas Vasilevicius,657767
1286,Thomas Peter Calder,
1287,Sandra Komaraite,657765
1288,Darius Stasiunas,
1289,Magyari Viktor,150272
1290,Hasler Simon,
1291,Heritier Thomas Eivind,
1292,Thomasmathibalan Felix Johnny,
1294,Petteri Sevon,100246
1295,Arnis Vītols,200306
1296,Raimonds Īša,657742
1297,Lars-Erik Svensson,
1298,Honkanen Pasi,
1299,Joakim Lundin,280327
1300,Frode Hagerup,220019
1301,Suojanen Antti,
1302,Bostik Michal,79012
1303,Oscar Henriksson,656663
1304,Tobias Taubitz,655853
1305,Linus Restel,656269
1306,Torbjørn Kverneland,657719
1307,Vegard Klippen,659341
1308,Vegard T. Steine,656835
1309,Thorbjørn F. Hestvaag,657769
1310,Sladek Honza,
1311,Rok Skrlep,270025
1312,Baiba Dace Ozoliņa,200196
1314,Jackowska Aneta,
1315,Caroline Eriksson,655686
1316,Sissie Wikstrom,280852
1317,Maskova Iva,
1318,Anne Grethe Gangsøy,220636
1319,Jindrova Marketa,
1320,Viola Bruneske,659815
1321,Henrik Skjæveland,
1322,Jerry Wikström,280538
1325,Arne Hetlelid,220131
1329,Ustimenko Vjacheslav,
1330,Pak Elena,
1333,Poskonniy Sergey,653619
1334,Igor Novikov,658005
1335,Yury Volik,656247
1337,Burkov Andrey,653962
1339,Nikulina Elena,
1342,Demchenko Ivan,
1344,Kalyuzhniy Sergey,
1345,Kalyuzhniy Dmitriy,
1347,Petukhov Sergey,
1349,Bednyak Evgeniya,
1351,Alexey Panyaev,
1352,Panyaeva Olesya,659324
1353,Olga Glazunova,654505
1355,Aleksandr Tarakanov,659257
1362,Matantsev Valeriy,
1366,Anton Runenkov,652049
1367,Taisia Ankudimova,656220
1369,Vladimir Vedernikov,310003
1370,Igor Miloradov,240221
1371,Andrey Kalinkin,656038
1372,Isaev Maxim,
1373,Butov Vitaliy,
1375,Sergey Dunichkin,656033
1376,Yuriy Prostakov,240547
1377,Elnara Abasova,656217
1378,Andrey Vedernikov,
